SCENE_ID,PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,DATE_ACQUIRED,COLLECTION_NUMBER,COLLECTION_CATEGORY,SENSING_TIME,DATA_TYPE,WRS_PATH,WRS_ROW,CLOUD_COVER,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,TOTAL_SIZE,BASE_URL
LT50140531998191AAA02,LT05_L1GS_014053_19980710_20161223_01_T2,LANDSAT_5,TM,1998-07-10,01,T2,1998-07-10T15:26:26.4340060Z,L1GS,14,53,88.0,11.07222,9.156,-83.5747,-81.43599,118328395,gs://gcp-public-data-landsat/LT05/01/014/053/LT05_L1GS_014053_19980710_20161223_01_T2
LC80160532015268LGN01,LC08_L1TP_016053_20150925_20170225_01_T1,LANDSAT_8,OLI_TIRS,2015-09-25,01,T1,2015-09-25T16:00:35.6246690Z,L1TP,16,53,68.35,11.16998,9.06466,-86.62782,-84.54614,983185429,gs://gcp-public-data-landsat/LC08/01/016/053/LC08_L1TP_016053_20150925_20170225_01_T1
LE70160532018236EDC00,LE07_L1TP_016053_20180824_20180824_01_RT,LANDSAT_7,ETM,2018-08-24,01,RT,2018-08-24T15:58:58.6849194Z,L1TP,16,53,66.0,11.07239,9.17814,-86.70143,-84.48933,180248649,gs://gcp-public-data-landsat/LE07/01/016/053/LE07_L1TP_016053_20180824_20180824_01_RT
LM50160531987223AAA03,,LANDSAT_5,MSS,1987-08-11,PRE,N/A,1987-08-11T15:26:31.9010000Z,L1T,16,53,0.0,11.05487,9.21647,-86.57195,-84.46642,19667812,gs://gcp-public-data-landsat/LM05/PRE/016/053/LM50160531987223AAA03
LT50150531987200XXX02,LT05_L1GS_015053_19870719_20170212_01_T2,LANDSAT_5,TM,1987-07-19,01,T2,1987-07-19T15:19:39.6070250Z,L1GS,15,53,81.0,11.04169,9.15582,-85.0388,-82.91576,137947421,gs://gcp-public-data-landsat/LT05/01/015/053/LT05_L1GS_015053_19870719_20170212_01_T2
LC80160532017145LGN00,LC08_L1TP_016053_20170525_20170614_01_T1,LANDSAT_8,OLI_TIRS,2017-05-25,01,T1,2017-05-25T16:00:08.5220660Z,L1TP,16,53,69.52,11.16997,9.06465,-86.62509,-84.54339,934642084,gs://gcp-public-data-landsat/LC08/01/016/053/LC08_L1TP_016053_20170525_20170614_01_T1
LC80150532019304LGN00,LC08_L1TP_015053_20191031_20191031_01_RT,LANDSAT_8,OLI_TIRS,2019-10-31,01,RT,2019-10-31T15:54:48.4354479Z,L1TP,15,53,56.29,11.17212,9.06469,-85.08023,-82.99617,1117294792,gs://gcp-public-data-landsat/LC08/01/015/053/LC08_L1TP_015053_20191031_20191031_01_RT
LE70150542002089EDC00,LE07_L1TP_015054_20020330_20170131_01_T1,LANDSAT_7,ETM,2002-03-30,01,T1,2002-03-30T15:43:36.3165404Z,L1TP,15,54,22.0,9.64177,7.74084,-85.4403,-83.30753,201391670,gs://gcp-public-data-landsat/LE07/01/015/054/LE07_L1TP_015054_20020330_20170131_01_T1
LE70140542008243ASN00,LE07_L1TP_014054_20080830_20161225_01_T1,LANDSAT_7,ETM,2008-08-30,01,T1,2008-08-30T15:37:40.6622307Z,L1TP,14,54,84.0,9.63366,7.72773,-83.93171,-81.74997,196455432,gs://gcp-public-data-landsat/LE07/01/014/054/LE07_L1TP_014054_20080830_20161225_01_T1
LE70150542016048EDC00,,LANDSAT_7,ETM,2016-02-17,PRE,N/A,2016-02-17T15:56:41.4392950Z,L1T,15,54,3.0,9.62826,7.73227,-85.45121,-83.25583,149677753,gs://gcp-public-data-landsat/LE07/PRE/015/054/LE70150542016048EDC00
